
1.1.true

ReqID	a(SrcNode)	i(DesNode)	k(Path)	p(Ratio)	dtTrans	tArrival	start	end	timeSer(PSO)	t_wait	t_proc	t_serv	moved_data
7	V6	V11	V6	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
17	V9	V4	V9	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
17	V9	V9	V9	0.8787878787878789	0.0	6.0	6.0	7.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
17	V9	V14	V9	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
27	V8	V2	V8	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
27	V8	V3	V8	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
27	V8	V7	V8	0.0606060606060606	0.1212121212121212	6.121212121212121	12.305649026028993	13.305649026028993	7.426861147241113	6.184436904816872	1.0	7.305649026028993	0.0
27	V8	V8	V8	0.7388902818393706	0.0	6.0	6.0	7.0	12.191689650349616	0.0	1.0	1.0	339.142110616655
27	V8	V12	V8	0.018685475736387274	0.03737095147277455	6.0373709514727745	6.0373709514727745	6.3456813011231645	0.34568130112316503	0.0	0.30831034965039006	0.3456813011231646	0.0
27	V8	V13	V8	0.0606060606060606	0.1212121212121212	6.121212121212121	6.121212121212121	7.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
8	V6	V1	V6	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
8	V6	V5	V6	0.024958772461933558	0.049917544923867116	7.049917544923867	7.049917544923867	7.461737290545771	0.46173729054577184	0.0	0.41181974562190415	0.4617372905457713	0.0
8	V6	V6	V6	0.7932230457198848	0.0	7.0	7.0	8.0	13.0881802543781	0.0	1.0	1.0	366.3084925569121
8	V6	V11	V6	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
18	V9	V4	V9	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
18	V9	V9	V9	0.8787878787878789	0.0	7.0	7.0	8.0	14.500000000000002	0.0	1.0	1.0	409.0909090909091
18	V9	V14	V9	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
28	V8	V2	V8	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.2424242424242438	0.0	1.0	1.121212121212121	0.0
28	V8	V3	V8	0.0606060606060606	0.1212121212121212	7.121212121212121	7.121212121212121	8.121212121212121	1.2424242424242429	0.0	1.0	1.121212121212121	0.0
28	V8	V8	V8	0.7277433367356171	0.0	7.0	7.0	8.0	12.007765056137682	0.0	1.0	1.0	333.5686380647782
