
1.1.true
Vehicle TOPO

ReqID,	a(SrcNode),	i(DesNode),	k(Path),	p(Ratio),	dtTrans,	tArrival,	start,	end,	timeSer(PSO),	t_wait,	t_proc,	t_serv,	moved_data,
43,	V8,	V4,	V8,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	4.242424242424242,	5.242424242424242,	3.242424242424242,	2.121212121212121,	1.0,	3.242424242424242,	0.0
43,	V8,	V7,	V8,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	4.814244960357567,	5.814244960357567,	3.856018548851877,	2.693032839145446,	1.0,	3.814244960357567,	0.0
43,	V8,	V8,	V8,	0.6969696969696972,	0.0,	2.0,	2.0,	3.0,	11.500000000000005,	0.0,	1.0,	1.0,	318.1818181818183
43,	V8,	V13,	V8,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	4.242424242424242,	5.242424242424242,	3.242424242424242,	2.121212121212121,	1.0,	3.242424242424242,	0.0
43,	V8,	V14,	V8,	0.0606060606060606,	0.1212121212121212,	2.121212121212121,	4.242424242424242,	5.242424242424242,	3.242424242424242,	2.121212121212121,	1.0,	3.242424242424242,	0.0
4,	V6,	V0,	V6,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	3.121212121212121,	4.242424242424242,	1.121212121212121,	0.0,	1.121212121212121,	1.2424242424242422,	0.0
4,	V6,	V1,	V6,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	3.242424242424242,	4.242424242424242,	1.242424242424242,	0.1212121212121211,	1.0,	1.2424242424242422,	0.0
4,	V6,	V5,	V6,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	3.1863748602752424,	4.186374860275242,	1.1863748602752422,	0.06516273906312131,	0.9999999999999996,	1.186374860275242,	0.0
4,	V6,	V6,	V6,	0.7175476658293569,	0.0,	3.0,	3.0,	4.0,	11.83953648618439,	0.0,	1.0,	1.0,	328.47080261164814
4,	V6,	V7,	V6,	0.0606060606060606,	0.1212121212121212,	3.121212121212121,	6.814244960357567,	7.814244960357567,	4.856018548851877,	3.693032839145446,	1.0,	4.814244960357567,	0.0
